student_id,age,gender,academic_level,country,avg_daily_usage_hours,most_used_platform,affects_academic_performance,sleep_hours_per_night,mental_health_score,relationship_status,conflicts_over_social_media,addicted_score,weekly_usage_hours,addiction_level
41,24,Male,Graduate,South Africa,2.3,LinkedIn,No,7.3,8,In Relationship,1,4,16.099999999999998,Medium
42,19,Female,High School,Nigeria,5.8,Instagram,Yes,5.4,5,Complicated,4,8,40.6,High
43,21,Male,Undergraduate,Kenya,3.7,Facebook,No,6.6,7,Single,2,5,25.900000000000002,Medium
44,20,Female,Undergraduate,Ghana,4.6,Snapchat,Yes,5.7,6,In Relationship,3,7,32.199999999999996,High
45,18,Male,High School,Argentina,5.5,TikTok,Yes,5.3,5,Single,4,8,38.5,High
46,23,Female,Graduate,Chile,2.7,LinkedIn,No,7.1,8,Complicated,1,4,18.900000000000002,Medium
47,19,Male,Undergraduate,Colombia,4.8,Instagram,Yes,5.9,6,In Relationship,3,7,33.6,High
48,20,Female,Undergraduate,Peru,5.5,TikTok,Yes,5.6,5,Single,4,8,38.5,High
49,22,Male,Graduate,Venezuela,3.3,Facebook,No,6.7,7,In Relationship,2,5,23.099999999999998,Medium
50,19,Female,High School,Ecuador,6.3,Instagram,Yes,5.2,5,Complicated,4,9,44.1,High
51,21,Male,Undergraduate,Uruguay,3.8,YouTube,No,6.4,7,Single,2,6,26.599999999999998,Medium
52,20,Female,Undergraduate,Paraguay,4.7,TikTok,Yes,5.8,6,In Relationship,3,7,32.9,High
53,24,Male,Graduate,Bolivia,2.4,LinkedIn,No,7.2,8,Complicated,1,4,16.8,Medium
54,19,Female,High School,Costa Rica,5.7,Instagram,Yes,5.5,5,Single,4,8,39.9,High
55,21,Male,Undergraduate,Panama,3.6,Facebook,No,6.5,7,In Relationship,2,5,25.2,Medium
56,20,Female,Undergraduate,Jamaica,4.9,Snapchat,Yes,5.6,6,Complicated,3,7,34.300000000000004,High
57,18,Male,High School,Trinidad,5.6,TikTok,Yes,5.2,5,Single,4,8,39.199999999999996,High
58,23,Female,Graduate,Bahamas,2.8,LinkedIn,No,7.0,8,In Relationship,1,4,19.599999999999998,Medium
59,19,Male,Undergraduate,Iceland,4.6,Instagram,Yes,5.9,6,Complicated,3,7,32.199999999999996,High
60,20,Female,Undergraduate,Finland,5.4,TikTok,Yes,5.7,5,Single,4,8,37.800000000000004,High
61,22,Male,Graduate,Poland,3.1,Facebook,No,7.1,7,Single,1,5,21.7,Medium
62,19,Female,Undergraduate,Romania,5.6,Instagram,Yes,5.6,5,In Relationship,3,8,39.199999999999996,High
63,20,Male,Undergraduate,Hungary,4.2,TikTok,Yes,6.0,6,Complicated,3,7,29.400000000000002,High
64,18,Female,High School,Czech Republic,6.1,Snapchat,Yes,5.2,4,Single,4,9,42.699999999999996,High
65,23,Male,Graduate,Slovakia,2.3,LinkedIn,No,7.4,8,In Relationship,1,3,16.099999999999998,Low
66,21,Female,Undergraduate,Croatia,4.8,Instagram,Yes,5.8,6,Single,3,7,33.6,High
67,20,Male,Undergraduate,Serbia,3.9,YouTube,No,6.5,7,Complicated,2,6,27.3,Medium
68,19,Female,High School,Slovenia,5.7,TikTok,Yes,5.4,5,In Relationship,4,8,39.9,High
69,22,Male,Graduate,Bulgaria,2.8,LinkedIn,No,7.2,8,Single,1,4,19.599999999999998,Medium
70,20,Female,Undergraduate,Estonia,4.5,Instagram,Yes,5.9,6,Complicated,3,7,31.5,High
71,18,Male,High School,Latvia,5.4,Snapchat,Yes,5.5,5,Single,4,8,37.800000000000004,High
72,21,Female,Graduate,Lithuania,3.2,Facebook,No,6.8,7,In Relationship,2,5,22.400000000000002,Medium
73,19,Male,Undergraduate,Ukraine,4.9,TikTok,Yes,5.7,6,Complicated,3,7,34.300000000000004,High
74,20,Female,Undergraduate,Moldova,5.8,Instagram,Yes,5.3,5,Single,4,8,40.6,High
75,23,Male,Graduate,Belarus,2.5,LinkedIn,No,7.3,8,In Relationship,1,4,17.5,Medium
76,21,Female,Undergraduate,Kazakhstan,4.6,Snapchat,Yes,5.8,6,Single,3,7,32.199999999999996,High
77,19,Male,High School,Uzbekistan,5.5,TikTok,Yes,5.4,5,Complicated,4,8,38.5,High
78,22,Female,Graduate,Kyrgyzstan,2.9,Facebook,No,7.0,7,In Relationship,2,5,20.3,Medium
79,20,Male,Undergraduate,Tajikistan,4.7,YouTube,Yes,5.9,6,Single,3,7,32.9,High
80,18,Female,High School,Armenia,5.9,Instagram,Yes,5.2,5,Complicated,4,9,41.300000000000004,High
81,21,Male,Graduate,Georgia,3.0,LinkedIn,No,7.1,8,In Relationship,1,4,21.0,Medium
82,19,Female,Undergraduate,Azerbaijan,4.8,TikTok,Yes,5.7,6,Single,3,7,33.6,High
83,20,Male,Undergraduate,Cyprus,3.8,Facebook,No,6.6,7,Complicated,2,6,26.599999999999998,Medium
84,22,Female,Graduate,Malta,2.7,LinkedIn,No,7.2,8,In Relationship,1,4,18.900000000000002,Medium
85,18,Male,High School,Luxembourg,5.6,Snapchat,Yes,5.3,5,Single,4,8,39.199999999999996,High
86,21,Female,Undergraduate,Monaco,4.5,Instagram,Yes,5.8,6,Complicated,3,7,31.5,High
87,19,Male,High School,Andorra,5.3,TikTok,Yes,5.5,5,In Relationship,4,8,37.1,High
88,23,Female,Graduate,San Marino,2.6,LinkedIn,No,7.3,8,Single,1,4,18.2,Medium
89,20,Male,Undergraduate,Vatican City,4.4,YouTube,Yes,6.0,6,Complicated,3,7,30.800000000000004,High
90,18,Female,High School,Liechtenstein,5.8,Instagram,Yes,5.2,5,Single,4,9,40.6,High
91,22,Male,Graduate,Montenegro,2.9,Facebook,No,7.0,7,In Relationship,2,5,20.3,Medium
92,19,Female,Undergraduate,Albania,4.7,TikTok,Yes,5.8,6,Complicated,3,7,32.9,High
93,21,Male,Undergraduate,North Macedonia,3.7,Snapchat,No,6.5,7,Single,2,6,25.900000000000002,Medium
94,20,Female,High School,Kosovo,5.5,Instagram,Yes,5.4,5,In Relationship,4,8,38.5,High
95,23,Male,Graduate,Bosnia,2.4,LinkedIn,No,7.4,8,Complicated,1,4,16.8,Medium
96,19,Female,Undergraduate,Qatar,4.9,TikTok,Yes,5.7,6,Single,3,7,34.300000000000004,High
97,18,Male,High School,Kuwait,5.7,Snapchat,Yes,5.3,5,In Relationship,4,8,39.9,High
98,22,Female,Graduate,Bahrain,2.8,LinkedIn,No,7.1,8,Complicated,1,4,19.599999999999998,Medium
99,20,Male,Undergraduate,Oman,4.6,Instagram,Yes,5.9,6,Single,3,7,32.199999999999996,High
100,21,Female,Undergraduate,Jordan,5.4,TikTok,Yes,5.5,5,In Relationship,4,8,37.800000000000004,High
101,19,Male,High School,Lebanon,5.8,YouTube,Yes,5.2,5,Complicated,4,9,40.6,High
102,23,Female,Graduate,Iraq,2.5,LinkedIn,No,7.3,8,Single,1,4,17.5,Medium
103,20,Male,Undergraduate,Yemen,4.7,Facebook,Yes,5.8,6,In Relationship,3,7,32.9,High
104,18,Female,High School,Syria,5.6,Instagram,Yes,5.4,5,Single,4,8,39.199999999999996,High
105,22,Male,Graduate,Afghanistan,2.9,LinkedIn,No,7.0,7,Complicated,2,5,20.3,Medium
106,19,Female,Undergraduate,Pakistan,4.8,TikTok,Yes,5.7,6,In Relationship,3,7,33.6,High
107,21,Male,Undergraduate,Nepal,3.8,YouTube,No,6.6,7,Single,2,6,26.599999999999998,Medium
108,20,Female,High School,Bhutan,5.5,Snapchat,Yes,5.5,5,Complicated,4,8,38.5,High
109,23,Male,Graduate,Sri Lanka,2.6,LinkedIn,No,7.2,8,In Relationship,1,4,18.2,Medium
110,19,Female,Undergraduate,Maldives,4.9,Instagram,Yes,5.8,6,Single,3,7,34.300000000000004,High
111,20,Male,Undergraduate,Bangladesh,6.1,Instagram,Yes,6.2,5,Single,4,8,42.699999999999996,High
112,21,Female,Undergraduate,India,5.8,TikTok,Yes,5.9,6,In Relationship,3,7,40.6,High
113,19,Male,Undergraduate,Nepal,4.9,Facebook,No,7.1,7,Single,2,5,34.300000000000004,Medium
114,22,Female,Graduate,Pakistan,5.5,Instagram,Yes,6.0,5,Single,4,8,38.5,High
115,20,Male,Undergraduate,Sri Lanka,5.2,TikTok,Yes,6.3,6,In Relationship,3,7,36.4,High
116,19,Female,Undergraduate,Maldives,4.8,Instagram,No,7.2,8,Single,2,5,33.6,Medium
117,21,Male,Graduate,Bangladesh,6.0,Facebook,Yes,5.8,5,In Relationship,4,8,42.0,High
118,20,Female,Undergraduate,India,5.7,Instagram,Yes,6.1,6,Single,3,7,39.9,High
119,22,Male,Graduate,Nepal,4.7,TikTok,No,7.3,7,Single,2,5,32.9,Medium
120,19,Female,Undergraduate,Pakistan,5.4,Instagram,Yes,6.2,5,In Relationship,4,8,37.800000000000004,High
121,20,Male,Undergraduate,Sri Lanka,5.9,Facebook,Yes,5.9,6,Single,3,7,41.300000000000004,High
122,21,Female,Graduate,Maldives,4.6,Instagram,No,7.4,8,In Relationship,2,5,32.199999999999996,Medium
123,19,Male,Undergraduate,Bangladesh,5.3,TikTok,Yes,6.3,5,Single,4,8,37.1,High
124,22,Female,Graduate,India,5.8,Instagram,Yes,5.8,6,In Relationship,3,7,40.6,High
125,20,Male,Undergraduate,Nepal,4.5,Facebook,No,7.5,7,Single,2,5,31.5,Medium
126,21,Female,Graduate,Pakistan,5.2,Instagram,Yes,6.4,5,In Relationship,4,8,36.4,High
127,19,Male,Undergraduate,Sri Lanka,5.7,TikTok,Yes,5.7,6,Single,3,7,39.9,High
128,20,Female,Undergraduate,Maldives,4.4,Instagram,No,7.6,8,In Relationship,2,5,30.800000000000004,Medium
129,22,Male,Graduate,Bangladesh,5.1,Facebook,Yes,6.5,5,Single,4,8,35.699999999999996,High
130,21,Female,Graduate,India,5.6,Instagram,Yes,5.6,6,In Relationship,3,7,39.199999999999996,High
131,19,Male,Undergraduate,Nepal,4.3,TikTok,No,7.7,7,Single,2,5,30.099999999999998,Medium
132,20,Female,Undergraduate,Pakistan,5.0,Instagram,Yes,6.6,5,In Relationship,4,8,35.0,High
133,22,Male,Graduate,Sri Lanka,5.5,Facebook,Yes,5.5,6,Single,3,7,38.5,High
134,21,Female,Graduate,Maldives,4.2,Instagram,No,7.8,8,In Relationship,2,5,29.400000000000002,Medium
135,19,Male,Undergraduate,Bangladesh,4.9,TikTok,Yes,6.7,5,Single,4,8,34.300000000000004,High
136,20,Female,Undergraduate,India,5.4,Instagram,Yes,5.4,6,In Relationship,3,7,37.800000000000004,High
137,22,Male,Graduate,Nepal,4.1,Facebook,No,7.9,7,Single,2,5,28.699999999999996,Medium
138,21,Female,Graduate,Pakistan,4.8,Instagram,Yes,6.8,5,In Relationship,4,8,33.6,High
139,19,Male,Undergraduate,Sri Lanka,5.3,TikTok,Yes,5.3,6,Single,3,7,37.1,High
140,20,Female,Undergraduate,Maldives,4.0,Instagram,No,8.0,8,In Relationship,2,5,28.0,Medium
141,22,Male,Graduate,Bangladesh,4.7,Facebook,Yes,6.9,5,Single,4,8,32.9,High
142,21,Female,Graduate,India,5.2,Instagram,Yes,5.2,6,In Relationship,3,7,36.4,High
143,19,Male,Undergraduate,Nepal,3.9,TikTok,No,8.1,7,Single,2,5,27.3,Medium
144,20,Female,Undergraduate,Pakistan,4.6,Instagram,Yes,7.0,5,In Relationship,4,8,32.199999999999996,High
145,22,Male,Graduate,Sri Lanka,5.1,Facebook,Yes,5.1,6,Single,3,7,35.699999999999996,High
146,21,Female,Graduate,Maldives,3.8,Instagram,No,8.2,8,In Relationship,2,5,26.599999999999998,Medium
147,19,Male,Undergraduate,Bangladesh,4.5,TikTok,Yes,7.1,5,Single,4,8,31.5,High
148,20,Female,Undergraduate,India,5.0,Instagram,Yes,5.0,6,In Relationship,3,7,35.0,High
149,22,Male,Graduate,Nepal,3.7,Facebook,No,8.3,7,Single,2,5,25.900000000000002,Medium
150,21,Female,Graduate,Pakistan,4.4,Instagram,Yes,7.2,5,In Relationship,4,8,30.800000000000004,High
151,19,Male,Undergraduate,Sri Lanka,4.9,TikTok,Yes,4.9,6,Single,3,7,34.300000000000004,High
152,20,Female,Undergraduate,Maldives,3.6,Instagram,No,8.4,8,In Relationship,2,5,25.2,Medium
153,22,Male,Graduate,Bangladesh,4.3,Facebook,Yes,7.3,5,Single,4,8,30.099999999999998,High
154,21,Female,Graduate,India,4.8,Instagram,Yes,4.8,6,In Relationship,3,7,33.6,High
155,19,Male,Undergraduate,Nepal,3.5,TikTok,No,8.5,7,Single,2,5,24.5,Medium
156,20,Female,Undergraduate,Pakistan,4.2,Instagram,Yes,7.4,5,In Relationship,4,8,29.400000000000002,High
157,22,Male,Graduate,Sri Lanka,4.7,Facebook,Yes,4.7,6,Single,3,7,32.9,High
158,21,Female,Graduate,Maldives,3.4,Instagram,No,8.6,8,In Relationship,2,5,23.8,Medium
159,19,Male,Undergraduate,Bangladesh,4.1,TikTok,Yes,7.5,5,Single,4,8,28.699999999999996,High
160,20,Female,Undergraduate,India,4.6,Instagram,Yes,4.6,6,In Relationship,3,7,32.199999999999996,High
161,19,Female,Undergraduate,Bangladesh,5.3,Instagram,Yes,6.1,5,Single,3,7,37.1,High
162,21,Male,Graduate,India,4.8,Facebook,No,7.2,7,In Relationship,2,6,33.6,Medium
163,20,Female,Undergraduate,Nepal,5.5,TikTok,Yes,5.9,6,Single,4,8,38.5,High
164,22,Male,Graduate,Pakistan,4.7,Instagram,Yes,6.3,5,In Relationship,3,7,32.9,High
165,19,Female,Undergraduate,Sri Lanka,5.1,Facebook,No,7.0,7,Single,2,5,35.699999999999996,Medium
166,21,Male,Graduate,Maldives,5.4,TikTok,Yes,6.0,6,In Relationship,4,8,37.800000000000004,High
167,20,Female,Undergraduate,Bangladesh,4.9,Instagram,Yes,6.4,5,Single,3,7,34.300000000000004,High
168,22,Male,Graduate,India,5.2,Facebook,No,7.1,7,In Relationship,2,6,36.4,Medium
169,19,Female,Undergraduate,Nepal,5.6,TikTok,Yes,5.8,6,Single,4,8,39.199999999999996,High
170,21,Male,Graduate,Pakistan,4.6,Instagram,Yes,6.5,5,In Relationship,3,7,32.199999999999996,High
171,20,Female,Undergraduate,Sri Lanka,5.0,Facebook,No,7.3,7,Single,2,5,35.0,Medium
172,22,Male,Graduate,Maldives,5.3,TikTok,Yes,5.7,6,In Relationship,4,8,37.1,High
173,19,Female,Undergraduate,Bangladesh,4.8,Instagram,Yes,6.6,5,Single,3,7,33.6,High
174,21,Male,Graduate,India,5.1,Facebook,No,7.4,7,In Relationship,2,6,35.699999999999996,Medium
175,20,Female,Undergraduate,Nepal,5.7,TikTok,Yes,5.6,6,Single,4,8,39.9,High
176,22,Male,Graduate,Pakistan,4.5,Instagram,Yes,6.7,5,In Relationship,3,7,31.5,High
177,19,Female,Undergraduate,Sri Lanka,4.9,Facebook,No,7.5,7,Single,2,5,34.300000000000004,Medium
178,21,Male,Graduate,Maldives,5.2,TikTok,Yes,5.5,6,In Relationship,4,8,36.4,High
179,20,Female,Undergraduate,Bangladesh,4.7,Instagram,Yes,6.8,5,Single,3,7,32.9,High
180,22,Male,Graduate,India,5.0,Facebook,No,7.6,7,In Relationship,2,6,35.0,Medium
181,19,Female,Undergraduate,Nepal,5.8,TikTok,Yes,5.4,6,Single,4,8,40.6,High
182,21,Male,Graduate,Pakistan,4.4,Instagram,Yes,6.9,5,In Relationship,3,7,30.800000000000004,High
183,20,Female,Undergraduate,Sri Lanka,4.8,Facebook,No,7.7,7,Single,2,5,33.6,Medium
184,22,Male,Graduate,Maldives,5.1,TikTok,Yes,5.3,6,In Relationship,4,8,35.699999999999996,High
185,19,Female,Undergraduate,Bangladesh,4.6,Instagram,Yes,7.0,5,Single,3,7,32.199999999999996,High
186,21,Male,Graduate,India,4.9,Facebook,No,7.8,7,In Relationship,2,6,34.300000000000004,Medium
187,20,Female,Undergraduate,Nepal,5.9,TikTok,Yes,5.2,6,Single,4,8,41.300000000000004,High
188,22,Male,Graduate,Pakistan,4.3,Instagram,Yes,7.1,5,In Relationship,3,7,30.099999999999998,High
189,19,Female,Undergraduate,Sri Lanka,4.7,Facebook,No,7.9,7,Single,2,5,32.9,Medium
190,21,Male,Graduate,Maldives,5.0,TikTok,Yes,5.1,6,In Relationship,4,8,35.0,High
191,20,Female,Undergraduate,Bangladesh,4.5,Instagram,Yes,7.2,5,Single,3,7,31.5,High
192,22,Male,Graduate,India,4.8,Facebook,No,8.0,7,In Relationship,2,6,33.6,Medium
193,19,Female,Undergraduate,Nepal,6.0,TikTok,Yes,5.0,6,Single,4,8,42.0,High
194,21,Male,Graduate,Pakistan,4.2,Instagram,Yes,7.3,5,In Relationship,3,7,29.400000000000002,High
195,20,Female,Undergraduate,Sri Lanka,4.6,Facebook,No,8.1,7,Single,2,5,32.199999999999996,Medium
196,22,Male,Graduate,Maldives,4.9,TikTok,Yes,4.9,6,In Relationship,4,8,34.300000000000004,High
197,19,Female,Undergraduate,Bangladesh,4.4,Instagram,Yes,7.4,5,Single,3,7,30.800000000000004,High
198,21,Male,Graduate,India,4.7,Facebook,No,8.2,7,In Relationship,2,6,32.9,Medium
199,20,Female,Undergraduate,Nepal,6.1,TikTok,Yes,4.8,6,Single,4,8,42.699999999999996,High
200,22,Male,Graduate,Pakistan,4.1,Instagram,Yes,7.5,5,In Relationship,3,7,28.699999999999996,High
201,19,Female,Undergraduate,Sri Lanka,4.5,Facebook,No,8.3,7,Single,2,5,31.5,Medium
202,21,Male,Graduate,Maldives,4.8,TikTok,Yes,4.7,6,In Relationship,4,8,33.6,High
203,20,Female,Undergraduate,Bangladesh,4.3,Instagram,Yes,7.6,5,Single,3,7,30.099999999999998,High
204,22,Male,Graduate,India,4.6,Facebook,No,8.4,7,In Relationship,2,6,32.199999999999996,Medium
205,19,Female,Undergraduate,Nepal,6.2,TikTok,Yes,4.6,6,Single,4,8,43.4,High
206,21,Male,Graduate,Pakistan,4.0,Instagram,Yes,7.7,5,In Relationship,3,7,28.0,High
207,20,Female,Undergraduate,Sri Lanka,4.4,Facebook,No,8.5,7,Single,2,5,30.800000000000004,Medium
208,22,Male,Graduate,Maldives,4.7,TikTok,Yes,4.5,6,In Relationship,4,8,32.9,High
209,19,Female,Undergraduate,Bangladesh,4.2,Instagram,Yes,7.8,5,Single,3,7,29.400000000000002,High
210,21,Male,Graduate,India,4.5,Facebook,No,8.6,7,In Relationship,2,6,31.5,Medium
211,20,Female,Undergraduate,Nepal,6.3,TikTok,Yes,4.4,6,Single,4,8,44.1,High
212,22,Male,Graduate,Pakistan,3.9,Instagram,Yes,7.9,5,In Relationship,3,7,27.3,High
213,19,Female,Undergraduate,Sri Lanka,4.3,Facebook,No,8.7,7,Single,2,5,30.099999999999998,Medium
214,21,Male,Graduate,Maldives,4.6,TikTok,Yes,4.3,6,In Relationship,4,8,32.199999999999996,High
215,20,Female,Undergraduate,Bangladesh,4.1,Instagram,Yes,8.0,5,Single,3,7,28.699999999999996,High
216,22,Male,Graduate,India,4.4,Facebook,No,8.8,7,In Relationship,2,6,30.800000000000004,Medium
217,19,Female,Undergraduate,Nepal,6.4,TikTok,Yes,4.2,6,Single,4,8,44.800000000000004,High
218,21,Male,Graduate,Pakistan,3.8,Instagram,Yes,8.1,5,In Relationship,3,7,26.599999999999998,High
219,20,Female,Undergraduate,Sri Lanka,4.2,Facebook,No,8.9,7,Single,2,5,29.400000000000002,Medium
220,22,Male,Graduate,Maldives,4.5,TikTok,Yes,4.1,6,In Relationship,4,8,31.5,High
221,19,Female,Undergraduate,USA,6.5,Instagram,Yes,6.0,5,Single,4,9,45.5,High
222,21,Male,Graduate,UK,5.8,TikTok,Yes,6.5,6,In Relationship,3,7,40.6,High
223,20,Female,Undergraduate,Australia,4.5,Instagram,No,7.5,8,Single,2,5,31.5,Medium
224,22,Male,Graduate,Germany,4.2,Facebook,No,7.8,7,In Relationship,2,4,29.400000000000002,Medium
225,19,Female,Undergraduate,Japan,3.8,LINE,No,7.9,8,Single,1,3,26.599999999999998,Low
226,21,Male,Graduate,Italy,5.5,Instagram,Yes,6.8,6,Single,3,7,38.5,High
227,20,Female,Undergraduate,South Korea,5.2,KakaoTalk,Yes,6.5,6,In Relationship,3,6,36.4,Medium
228,22,Male,Graduate,Russia,4.8,VKontakte,No,7.2,7,Single,2,5,33.6,Medium
229,19,Female,Undergraduate,USA,7.0,TikTok,Yes,5.8,4,In Relationship,4,9,49.0,High
230,21,Male,Graduate,UK,5.5,Instagram,Yes,6.7,6,Single,3,7,38.5,High
231,20,Female,Undergraduate,Australia,4.7,Facebook,No,7.4,7,In Relationship,2,5,32.9,Medium
232,22,Male,Graduate,Germany,4.0,Instagram,No,7.9,8,Single,1,4,28.0,Medium
233,19,Female,Undergraduate,Japan,3.5,LINE,No,8.0,8,Single,1,3,24.5,Low
234,21,Male,Graduate,Italy,5.7,TikTok,Yes,6.5,5,In Relationship,3,8,39.9,High
235,20,Female,Undergraduate,South Korea,5.0,KakaoTalk,Yes,6.8,6,Single,3,6,35.0,Medium
236,22,Male,Graduate,Russia,4.5,VKontakte,No,7.4,7,In Relationship,2,5,31.5,Medium
237,19,Female,Undergraduate,USA,6.8,Instagram,Yes,5.9,4,Single,4,9,47.6,High
238,21,Male,Graduate,UK,5.6,Facebook,Yes,6.6,6,In Relationship,3,7,39.199999999999996,High
239,20,Female,Undergraduate,Australia,4.6,Instagram,No,7.3,7,Single,2,5,32.199999999999996,Medium
240,22,Male,Graduate,Germany,4.1,Facebook,No,7.7,8,In Relationship,2,4,28.699999999999996,Medium
241,19,Female,Undergraduate,Japan,3.7,LINE,No,7.8,8,Single,1,3,25.900000000000002,Low
242,21,Male,Graduate,Italy,5.4,Instagram,Yes,6.7,5,Single,3,7,37.800000000000004,High
243,20,Female,Undergraduate,South Korea,5.1,KakaoTalk,Yes,6.6,6,In Relationship,3,6,35.699999999999996,Medium
244,22,Male,Graduate,Russia,4.7,VKontakte,No,7.3,7,Single,2,5,32.9,Medium
245,19,Female,Undergraduate,USA,6.9,TikTok,Yes,5.7,4,In Relationship,4,9,48.300000000000004,High
246,21,Male,Graduate,UK,5.7,Instagram,Yes,6.4,6,Single,3,7,39.9,High
247,20,Female,Undergraduate,Australia,4.8,Facebook,No,7.2,7,In Relationship,2,5,33.6,Medium
248,22,Male,Graduate,Germany,3.9,Instagram,No,7.8,8,Single,1,4,27.3,Medium
249,19,Female,Undergraduate,Japan,3.6,LINE,No,8.1,8,Single,1,3,25.2,Low
250,21,Male,Graduate,Italy,5.6,TikTok,Yes,6.6,5,In Relationship,3,8,39.199999999999996,High
251,20,Female,Undergraduate,South Korea,4.9,KakaoTalk,Yes,6.9,6,Single,3,6,34.300000000000004,Medium
252,22,Male,Graduate,Russia,4.6,VKontakte,No,7.5,7,In Relationship,2,5,32.199999999999996,Medium
253,19,Female,Undergraduate,USA,6.7,Instagram,Yes,5.8,4,Single,4,9,46.9,High
254,21,Male,Graduate,UK,5.4,Facebook,Yes,6.5,6,In Relationship,3,7,37.800000000000004,High
255,20,Female,Undergraduate,Australia,4.4,Instagram,No,7.4,7,Single,2,5,30.800000000000004,Medium
256,22,Male,Graduate,Germany,4.0,Facebook,No,7.6,8,In Relationship,2,4,28.0,Medium
257,19,Female,Undergraduate,Japan,3.4,LINE,No,8.2,8,Single,1,3,23.8,Low
258,21,Male,Graduate,Italy,5.3,Instagram,Yes,6.8,5,Single,3,7,37.1,High
